"","Estado","Cod","DEM12","GOP12","DEM04","GOP04","DEM92","GOP92","DEM80","GOP80","Tend","REG"
"1","Alabama","AL",38.36,60.55,36.84,62.46,40.88,47.65,47.45,48.75,"REP","South"
"2","Alaska","AK",40.81,54.8,35.52,61.07,30.29,39.46,26.41,54.35,"REP","West"
"3","Arizona","AZ",44.59,53.65,44.4,54.87,36.52,38.47,28.24,60.61,"REP","West"
"4","Arkansas","AR",36.88,60.57,44.55,54.31,53.21,35.48,47.52,48.13,"REP","South"
"5","California","CA",60.24,37.12,54.31,44.36,46.01,32.61,35.91,52.69,"DEM","West"
"6","Colorado","CO",51.49,46.13,47.02,51.69,40.13,35.87,31.07,55.07,"BGS","West"
"7","Connecticut","CT",58.06,40.73,54.31,43.95,42.21,35.78,38.52,48.16,"DEM","Northest"
"8","Delaware","DE",58.61,39.98,53.35,45.75,43.52,35.78,44.87,47.21,"DEM","South"
"9","D.C.","DC",90.91,7.28,89.18,9.34,84.64,9.1,74.89,13.41,"DEM","South"
"10","Florida","FL",50.01,49.13,47.09,52.1,39,40.89,38.5,55.52,"BGS","South"
"11","Georgia","GA",45.58,53.3,41.37,57.97,43.47,42.88,55.76,40.95,"REP","South"
"12","Hawaii","HA",70.55,27.84,54.01,45.26,48.09,36.7,44.8,42.9,"DEM","West"
"13","Idaho","ID",32.62,64.53,30.26,68.38,28.42,42.03,25.19,66.46,"REP","West"
"14","Illinois","IL",57.6,40.73,54.82,44.48,48.58,34.34,41.72,49.65,"DEM","Midwest"
"15","Indiana","IN",43.93,54.13,39.26,59.94,36.79,42.91,37.65,56.01,"REP","Midwest"
"16","Iowa","IA",51.99,46.18,49.23,49.9,43.29,37.27,38.6,51.31,"BGS","Midwest"
"17","Kansas","KS",37.99,59.71,36.62,62,33.74,38.88,33.29,57.85,"REP","Midwest"
"18","Kentucky","KY",37.8,59.71,39.69,59.55,44.55,41.34,47.61,49.07,"REP","South"
"19","Louisiana","LA",40.58,57.78,42.22,56.72,45.58,40.97,45.75,51.2,"REP","South"
"20","Maine","ME",56.27,40.98,53.57,44.58,38.77,30.39,42.25,45.61,"DEM","Northest"
"21","Maryland","MD",61.97,35.9,55.91,42.93,49.8,35.62,47.14,44.18,"DEM","South"
"22","Massachusetts","MA",60.65,37.51,61.94,36.78,47.54,29.03,41.75,41.9,"DEM","Northest"
"23","Michigan","MI",54.21,44.71,51.23,47.81,43.77,36.38,42.5,48.99,"BGS","Midwest"
"24","Minnesota","MN",52.65,44.96,51.09,47.61,43.48,31.85,46.5,42.56,"DEM","Midwest"
"25","Mississippi","MS",43.79,55.29,39.76,59.45,40.77,49.68,48.09,49.42,"REP","South"
"26","Missouri","MO",44.38,53.76,46.1,53.3,44.07,33.92,44.35,51.16,"REP","Midwest"
"27","Montana","MT",41.7,55.35,38.56,59.07,37.63,35.12,32.43,56.82,"REP","West"
"28","Nebraska","NE",38.03,59.8,32.68,65.9,29.4,46.58,26.04,65.53,"REP","Midwest"
"29","Nevada","NV",52.36,45.68,47.88,50.47,37.36,34.73,26.89,62.54,"BGS","West"
"30","New Hampshire","NH",51.98,46.4,50.24,48.87,38.91,37.69,28.35,57.74,"BGS","Northest"
"31","New Jersey","NJ",58.38,40.59,52.92,46.24,42.95,40.58,38.56,51.97,"DEM","Northest"
"32","New Mexico","NM",52.99,42.84,49.05,49.84,45.9,37.34,36.78,54.97,"BGS","West"
"33","New York","NY",63.35,35.17,58.37,40.08,49.73,33.88,43.99,46.66,"DEM","Northest"
"34","North Carolina","NC",48.35,50.39,43.58,56.02,42.65,43.44,47.18,49.3,"REP","South"
"35","North Dakota","ND",38.69,58.32,35.5,62.86,32.18,44.22,26.26,64.23,"REP","Midwest"
"36","Ohio","OH",50.67,47.69,48.71,50.81,40.18,38.35,40.91,51.51,"BGS","Midwest"
"37","Oklahoma","OK",33.23,66.77,34.43,65.57,34.02,42.65,34.97,60.5,"REP","South"
"38","Oregon","OR",54.24,42.15,51.35,47.19,42.48,32.53,38.67,48.33,"DEM","West"
"39","Pennsylvania","PA",51.97,46.59,50.92,48.42,45.15,36.13,42.48,49.59,"BGS","Northest"
"40","Rhode Island","RI",62.7,35.24,59.42,38.67,47.04,29.02,47.67,37.2,"DEM","Northest"
"41","South Carolina","SC",44.09,54.56,40.9,57.98,39.88,48.02,48.04,49.57,"REP","South"
"42","South Dakota","SD",39.87,57.89,38.44,59.91,37.14,40.66,31.69,60.53,"REP","Midwest"
"43","Tennessee","TN",39.08,59.48,42.53,56.8,47.08,42.43,48.41,48.7,"REP","South"
"44","Texas","TX",41.38,57.17,38.22,61.09,37.08,40.56,41.42,55.28,"REP","South"
"45","Utah","UT",24.75,72.79,26,71.54,24.65,43.36,20.57,72.77,"REP","West"
"46","Vermont","VT",66.57,30.97,58.94,38.8,46.11,30.42,38.41,44.37,"DEM","Northest"
"47","Virginia","VA",51.16,47.28,45.48,53.68,40.59,44.97,40.31,53.03,"BGS","South"
"48","Washington","WA",56.16,41.29,52.82,45.64,43.41,31.97,37.32,49.66,"DEM","West"
"49","West Viriginia","WV",35.54,62.3,43.2,56.06,48.41,35.39,49.81,45.3,"BGS","South"
"50","Wisconsin","WI",52.83,45.89,49.7,49.32,41.13,36.78,43.18,47.9,"BGS","Midwest"
"51","Wyoming","WY",27.82,68.64,29.07,68.86,34.1,39.7,27.97,62.64,"REP","West"
